2011	5	2	15-16	186
2011	5	2	16-17	348
2011	5	2	17-18	426
2011	5	2	18-19	462
2011	5	2	19-20	588
2011	5	2	20-21	384
2011	5	2	21-22	156
2011	5	3	06-07	18
2011	5	3	07-08	36
2011	5	3	08-09	36
2011	5	3	09-10	36
2011	5	3	10-11	54
2011	5	3	11-12	72
2011	5	3	12-13	120
2011	5	3	13-14	156
2011	5	3	14-15	114
2011	5	3	15-16	276
2011	5	3	16-17	390
2011	5	3	17-18	462
2011	5	3	18-19	512
2011	5	3	19-20	426
2011	5	3	20-21	348
2011	5	3	21-22	186
2011	5	4	06-07	18
2011	5	4	07-08	54
2011	5	4	08-09	72
2011	5	4	09-10	102
2011	5	4	10-11	150
2011	5	4	11-12	276
2011	5	4	12-13	276
2011	5	4	13-14	324
2011	5	4	14-15	456
2011	5	4	15-16	512
2011	5	4	16-17	650
2011	5	4	17-18	672
2011	5	4	18-19	698
2011	5	4	19-20	690
2011	5	4	20-21	588
2011	5	4	21-22	426
2011	5	5	06-07	36
2011	5	5	07-08	72
2011	5	5	08-09	156
2011	5	5	09-10	186
2011	5	5	10-11	210
2011	5	5	11-12	276
2011	5	5	12-13	426
2011	5	5	13-14	588
2011	5	5	14-15	348
2011	5	5	15-16	450
2011	5	5	16-17	512
2011	5	5	17-18	456
2011	5	5	18-19	588
2011	5	5	19-20	548
2011	5	5	20-21	426
2011	5	5	21-22	324
2011	5	6	06-07	18
2011	5	6	07-08	54
2011	5	6	08-09	90
2011	5	6	09-10	120
2011	5	6	10-11	210
2011	5	6	11-12	204
2011	5	6	12-13	348
2011	5	6	13-14	390
2011	5	6	14-15	426
2011	5	6	15-16	390
2011	5	6	16-17	462
2011	5	6	17-18	456
2011	5	6	18-19	348
2011	5	6	19-20	384
2011	5	6	20-21	252
2011	5	6	21-22	138
2011	6	0	06-07	18
2011	6	0	07-08	36
2011	6	0	08-09	36
2011	6	0	09-10	36
2011	6	0	10-11	54
2011	6	0	11-12	54
2011	6	0	12-13	72
2011	6	0	13-14	102
2011	6	0	14-15	108
2011	6	0	15-16	120
2011	6	0	16-17	246
2011	6	0	17-18	348
2011	6	0	18-19	426
2011	6	0	19-20	462
2011	6	0	20-21	252
2011	6	0	21-22	114
2011	6	1	06-07	18
2011	6	1	07-08	36
2011	6	1	08-09	36
2011	6	1	09-10	48
2011	6	1	10-11	54
2011	6	1	11-12	90
2011	6	1	12-13	96
2011	6	1	13-14	108
2011	6	1	14-15	120
2011	6	1	15-16	276
2011	6	1	16-17	324
2011	6	1	17-18	348
2011	6	1	18-19	450
2011	6	1	19-20	426
2011	6	1	20-21	324
2011	6	1	21-22	186
2011	6	2	06-07	18
2011	6	2	07-08	36
2011	6	2	08-09	36
2011	6	2	09-10	48
2011	6	2	10-11	72
2011	6	2	11-12	90
2011	6	2	12-13	96
2011	6	2	13-14	108
2011	6	2	14-15	120
2011	6	2	15-16	156
2011	6	2	16-17	210
2011	6	2	17-18	246
2011	6	2	18-19	324
2011	6	2	19-20	348
2011	6	2	20-21	456
2011	6	2	21-22	120
2011	6	3	06-07	18
2011	6	3	07-08	36
2011	6	3	08-09	36
2011	6	3	09-10	54
2011	6	3	10-11	72
2011	6	3	11-12	96
2011	6	3	12-13	108
2011	6	3	13-14	102
2011	6	3	14-15	156
2011	6	3	15-16	276
2011	6	3	16-17	348
2011	6	3	17-18	450
2011	6	3	18-19	512
2011	6	3	19-20	426
2011	6	3	20-21	390
2011	6	3	21-22	90
2011	6	4	06-07	18
2011	6	4	07-08	36
2011	6	4	08-09	48
2011	6	4	09-10	54
2011	6	4	10-11	96
2011	6	4	11-12	108
2011	6	4	12-13	120
2011	6	4	13-14	114
2011	6	4	14-15	210
2011	6	4	15-16	276
2011	6	4	16-17	348
2011	6	4	17-18	324
2011	6	4	18-19	456
2011	6	4	19-20	462
2011	6	4	20-21	390
2011	6	4	21-22	156
2011	6	5	06-07	36
2011	6	5	07-08	36
2011	6	5	08-09	48
2011	6	5	09-10	54
2011	6	5	10-11	90
2011	6	5	11-12	102
2011	6	5	12-13	120
2011	6	5	13-14	144
2011	6	5	14-15	210
2011	6	5	15-16	246
2011	6	5	16-17	276
2011	6	5	17-18	306
2011	6	5	18-19	360
2011	6	5	19-20	462
2011	6	5	20-21	276
2011	6	5	21-22	144
2011	6	6	06-07	18
2011	6	6	07-08	48
2011	6	6	08-09	48
2011	6	6	09-10	54
2011	6	6	10-11	96
2011	6	6	11-12	102
2011	6	6	12-13	108
2011	6	6	13-14	120
2011	6	6	14-15	144
2011	6	6	15-16	174
2011	6	6	16-17	192
2011	6	6	17-18	216
2011	6	6	18-19	276
2011	6	6	19-20	360
2011	6	6	20-21	348
2011	6	6	21-22	252
2011	7	0	06-07	18
2011	7	0	07-08	36
2011	7	0	08-09	36
2011	7	0	09-10	54
2011	7	0	10-11	54
2011	7	0	11-12	90
2011	7	0	12-13	108
2011	7	0	13-14	120
2011	7	0	14-15	168
2011	7	0	15-16	246
2011	7	0	16-17	198
2011	7	0	17-18	324
2011	7	0	18-19	366
2011	7	0	19-20	384
2011	7	0	20-21	348
2011	7	0	21-22	150
2011	7	1	06-07	18
2011	7	1	07-08	36
2011	7	1	08-09	36
2011	7	1	09-10	54
2011	7	1	10-11	54
2011	7	1	11-12	72
2011	7	1	12-13	96
2011	7	1	13-14	102
2011	7	1	14-15	108
2011	7	1	15-16	210
2011	7	1	16-17	246
2011	7	1	17-18	306
2011	7	1	18-19	426
2011	7	1	19-20	348
2011	7	1	20-21	426
2011	7	1	21-22	144
2011	7	2	06-07	18
2011	7	2	07-08	36
2011	7	2	08-09	36
2011	7	2	09-10	54
2011	7	2	10-11	54
2011	7	2	11-12	72
2011	7	2	12-13	96
2011	7	2	13-14	108
2011	7	2	14-15	120
2011	7	2	15-16	180
2011	7	2	16-17	210
2011	7	2	17-18	348
2011	7	2	18-19	462
2011	7	2	19-20	450
2011	7	2	20-21	384
2011	7	2	21-22	120
2011	7	3	06-07	18
2011	7	3	07-08	36
2011	7	3	08-09	36
2011	7	3	09-10	36
2011	7	3	10-11	72
2011	7	3	11-12	90
2011	7	3	12-13	102
2011	7	3	13-14	108
2011	7	3	14-15	156
2011	7	3	15-16	216
2011	7	3	16-17	246
2011	7	3	17-18	348
2011	7	3	18-19	480
2011	7	3	19-20	450
2011	7	3	20-21	348
2011	7	3	21-22	186
2011	7	4	06-07	18
2011	7	4	07-08	54
2011	7	4	08-09	72
2011	7	4	09-10	90
2011	7	4	10-11	114
2011	7	4	11-12	210
2011	7	4	12-13	264
2011	7	4	13-14	282
2011	7	4	14-15	456
2011	7	4	15-16	512
2011	7	4	16-17	588
2011	7	4	17-18	672
2011	7	4	18-19	650
2011	7	4	19-20	690
2011	7	4	20-21	548
2011	7	4	21-22	396
2011	7	5	06-07	36
2011	7	5	07-08	72
2011	7	5	08-09	96
2011	7	5	09-10	90
2011	7	5	10-11	156
2011	7	5	11-12	210
2011	7	5	12-13	336
2011	7	5	13-14	294
2011	7	5	14-15	348
2011	7	5	15-16	408
2011	7	5	16-17	462
2011	7	5	17-18	426
2011	7	5	18-19	462
2011	7	5	19-20	438
2011	7	5	20-21	348
2011	7	5	21-22	234
2011	7	6	06-07	18
2011	7	6	07-08	54
2011	7	6	08-09	72
2011	7	6	09-10	96
2011	7	6	10-11	120
2011	7	6	11-12	144
2011	7	6	12-13	102
2011	7	6	13-14	246
2011	7	6	14-15	264
2011	7	6	15-16	366
2011	7	6	16-17	402
2011	7	6	17-18	336
2011	7	6	18-19	348
2011	7	6	19-20	402
2011	7	6	20-21	246
2011	7	6	21-22	120
2011	8	0	06-07	18
2011	8	0	07-08	36
2011	8	0	08-09	54
2011	8	0	09-10	54
2011	8	0	10-11	72
2011	8	0	11-12	114
2011	8	0	12-13	144
2011	8	0	13-14	210
2011	8	0	14-15	228
2011	8	0	15-16	282
2011	8	0	16-17	348
2011	8	0	17-18	650
2011	8	0	18-19	690
2011	8	0	19-20	672
2011	8	0	20-21	708
2011	8	0	21-22	324
2011	8	1	06-07	18
2011	8	1	07-08	36
2011	8	1	08-09	54
2011	8	1	09-10	54
2011	8	1	10-11	72
2011	8	1	11-12	102
2011	8	1	12-13	120
2011	8	1	13-14	162
2011	8	1	14-15	186
2011	8	1	15-16	288
2011	8	1	16-17	324
2011	8	1	17-18	462
